datetime,lat,lon,mag,depth,referencia,year,month,day,hour,mag_class,depth_class,energy
2021-09-11T14:08:21,-9.9652,-78.8258,4.3,23.0,"75 km al O de Huarmey, Huarmey - Ancash",2021,9,11,14,moderado,superficial,1.7782794100389227e11
2021-09-16T18:58:24,-9.0665,-79.3026,4.1,28.0,"79 km al Oeste de Chimbote, Santa - Ancash",2021,9,16,18,moderado,superficial,8.91250938133744e10
2021-09-19T20:02:13,-8.6889,-77.838,4.0,22.0,"15 km al N de Huallanca, Huaylas - Ancash",2021,9,19,20,moderado,superficial,6.3095734448019424e10
2021-09-24T09:42:24,-8.6833,-77.821,3.8,13.0,"16 km al Norte-NE de Huallanca, Huaylas - Ancash",2021,9,24,9,leve,superficial,3.1622776601683792e10
2021-09-27T01:14:45,-9.3291,-79.3778,4.0,38.0,"92 km al Oeste-SO de Chimbote, Santa - Ancash",2021,9,27,1,moderado,superficial,6.3095734448019424e10
2021-09-27T20:32:36,-9.5828,-79.0223,4.3,42.0,"68 km al Oeste-SO de Samanco, Santa - Ancash",2021,9,27,20,moderado,superficial,1.7782794100389227e11
2021-10-13T09:07:40,-9.2198,-79.1619,4.8,56.0,"66 km al Oeste-SO de Chimbote, Santa - Ancash",2021,10,13,9,moderado,superficial,1.0e12
2021-10-15T06:48:08,-8.6758,-77.8129,4.0,17.0,"17 km al NE de Huallanca, Huaylas - Ancash",2021,10,15,6,moderado,superficial,6.3095734448019424e10
2021-10-29T06:08:29,-8.0183,-78.9337,3.9,78.0,"38 km al O de Chimbote, Santa - Ancash",2021,10,29,6,leve,intermedia,4.466835921509617e10
2021-11-08T23:17:55,-9.1797,-79.3218,3.7,44.0,"82 km al Oeste de Chimbote, Santa - Ancash",2021,11,8,23,leve,superficial,2.2387211385683468e10
2021-11-14T03:50:37,-9.7311,-78.6113,4.1,50.0,"45 km al SO de Casma, Casma - Ancash",2021,11,14,3,moderado,superficial,8.91250938133744e10
2021-11-19T11:47:41,-10.4619,-78.6281,4.1,23.0,"68 km al SO de Huarmey, Huarmey - Ancash",2021,11,19,11,moderado,superficial,8.91250938133744e10
2021-11-23T20:05:17,-8.9423,-78.6509,4.0,83.0,"16 km al Norte-NO de Chimbote, Santa - Ancash",2021,11,23,20,moderado,intermedia,6.3095734448019424e10
2021-11-24T11:03:17,-8.9325,-79.1874,4.1,53.0,"68 km al O de Chimbote, Santa - Ancash",2021,11,24,11,moderado,superficial,8.91250938133744e10
2021-12-06T06:19:55,-8.9641,-79.4237,4.1,45.0,"93 km al Oeste de Chimbote, Santa - Ancash",2021,12,6,6,moderado,superficial,8.91250938133744e10
2021-12-08T05:03:00,-9.2052,-79.284,3.8,37.0,"79 km al O de Chimbote, Santa - Ancash",2021,12,8,5,leve,superficial,3.1622776601683792e10
2021-12-13T01:01:44,-8.6569,-77.8527,3.7,15.0,"18 km al  Norte de Huallanca, Huaylas - Ancash",2021,12,13,1,leve,superficial,2.2387211385683468e10
2021-12-24T22:10:47,-9.2366,-79.3581,4.9,42.0,"87 km al O-SO de Chimbote, Santa - Ancash",2021,12,24,22,moderado,superficial,1.4125375446227554e12
2022-01-03T01:20:33,-9.6246,-79.5228,4.1,27.0,"120 km al Oeste-SO de Chimbote, Santa - Ancash",2022,1,3,1,moderado,superficial,8.91250938133744e10
2022-01-04T01:38:06,-8.6863,-77.8341,3.6,17.0,"15 km al Norte-NE de Huallanca, Huaylas - Ancash",2022,1,4,1,leve,superficial,1.5848931924611109e10
2022-01-10T10:34:50,-8.9708,-78.1262,3.7,22.0,"34 km al Oeste-SO de Huallanca, Huaylas - Ancash",2022,1,10,10,leve,superficial,2.2387211385683468e10
2022-01-11T04:27:13,-8.9584,-78.7968,3.9,63.0,"26 km al Oeste-NO de Chimbote, Santa - Ancash",2022,1,11,4,leve,superficial,4.466835921509617e10
2022-01-13T07:53:50,-9.8137,-78.8227,3.8,32.0,"68 km al Oeste-SO de Casma, Casma - Ancash",2022,1,13,7,leve,superficial,3.1622776601683792e10
2024-08-18T02:57:24,-9.35,-79.17,3.7,33.0,"71 km al SO de Chimbote, Santa - Ancash",2024,8,18,2,leve,superficial,2.2387211385683468e10
2024-09-04T10:34:26,-9.69,-78.95,4.4,35.0,"69 km al SO de Samanco, Santa - Ancash",2024,9,4,10,moderado,superficial,2.5118864315095822e11
2024-09-24T07:52:41,-8.98,-79.43,4.0,31.0,"93 km al O de Chimbote, Santa - Ancash",2024,9,24,7,moderado,superficial,6.3095734448019424e10
2024-10-02T18:13:20,-9.99,-78.96,4.0,40.0,"89 km al O de Huarmey, Huarmey - Ancash",2024,10,2,18,moderado,superficial,6.3095734448019424e10
2024-10-08T22:26:35,-8.4,-77.7,3.7,12.0,"18 km al NO de Sihuas, Sihuas - Ancash",2024,10,8,22,leve,superficial,2.2387211385683468e10
2024-10-15T13:49:01,-10.07,-78.92,4.1,32.0,"84 km al O de Huarmey, Huarmey - Ancash",2024,10,15,13,moderado,superficial,8.91250938133744e10
2024-10-19T06:50:10,-9.79,-80.3,4.3,26.0,"204 km al SO de Chimbote, Santa - Ancash",2024,10,19,6,moderado,superficial,1.7782794100389227e11
2024-10-21T20:19:10,-9.98,-79.04,4.0,25.0,"98 km al O de Huarmey, Huarmey - Ancash",2024,10,21,20,moderado,superficial,6.3095734448019424e10
2024-11-24T09:53:28,-9.7,-78.93,4.0,39.0,"69 km al SO de Samanco, Santa - Ancash",2024,11,24,9,moderado,superficial,6.3095734448019424e10
2024-11-24T19:56:01,-9.15,-78.93,4.2,65.0,"38 km al O de Chimbote, Santa - Ancash",2024,11,24,19,moderado,superficial,1.2589254117941713e11
2024-11-28T06:46:38,-9.96,-78.86,4.6,26.0,"79 km al O de Huarmey, Huarmey - Ancash",2024,11,28,6,moderado,superficial,5.011872336272715e11
2024-12-07T17:53:45,-9.42,-79.19,4.2,50.0,"76 km al SO de Chimbote, Santa - Ancash",2024,12,7,17,moderado,superficial,1.2589254117941713e11
2024-12-14T13:52:48,-9.83,-77.28,3.6,15.0,"22 km al SE de Recuay, Recuay - Ancash",2024,12,14,13,leve,superficial,1.5848931924611109e10
2024-12-17T10:02:34,-8.65,-77.82,3.5,15.0,"18 km al SE de Corongo, Corongo - Ancash",2024,12,17,10,leve,superficial,1.1220184543019653e10
2024-12-22T23:17:50,-9.33,-78.93,4.4,67.0,"47 km al SO de Chimbote, Santa - Ancash",2024,12,22,23,moderado,superficial,2.5118864315095822e11
2024-12-25T05:27:25,-8.54,-77.54,3.5,19.0,"10 km al E de Sihuas, Sihuas - Ancash",2024,12,25,5,leve,superficial,1.1220184543019653e10
2025-01-06T21:18:51,-9.92,-80.08,4.6,28.0,"189 km al SO de Chimbote, Santa - Ancash",2025,1,6,21,moderado,superficial,5.011872336272715e11
2025-01-11T19:25:39,-9.06,-78.71,3.5,67.0,"13 km al O de Chimbote, Santa - Ancash",2025,1,11,19,leve,superficial,1.1220184543019653e10
