total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed
1390.0,17.0,0.0,0.0,4.0,0.0
1390.0,17.0,0.0,0.0,4.0,0.0
1390.0,17.0,0.0,0.0,4.0,0.0
1407.0,17.0,17.0,0.0,2.43,0.0
1407.0,17.0,0.0,0.0,2.43,0.0
1407.0,17.0,0.0,0.0,2.43,0.0
1407.0,17.0,0.0,0.0,2.43,0.0
1407.0,17.0,0.0,0.0,2.43,0.0
1407.0,17.0,0.0,0.0,2.43,0.0
1407.0,17.0,0.0,0.0,2.43,0.0
1413.0,18.0,6.0,1.0,0.86,0.14
1413.0,18.0,0.0,0.0,0.86,0.14
1413.0,18.0,0.0,0.0,0.86,0.14
1413.0,18.0,0.0,0.0,0.86,0.14
1413.0,18.0,0.0,0.0,0.86,0.14
1413.0,18.0,0.0,0.0,0.86,0.14
1413.0,18.0,0.0,0.0,0.86,0.14
1454.0,18.0,41.0,0.0,5.86,0.0
1454.0,18.0,0.0,0.0,5.86,0.0
1454.0,18.0,0.0,0.0,5.86,0.0
1454.0,18.0,0.0,0.0,5.86,0.0
1454.0,18.0,0.0,0.0,5.86,0.0
1454.0,18.0,0.0,0.0,5.86,0.0
1454.0,18.0,0.0,0.0,5.86,0.0
1459.0,19.0,5.0,1.0,0.71,0.14
1459.0,19.0,0.0,0.0,0.71,0.14
1459.0,19.0,0.0,0.0,0.71,0.14
1459.0,19.0,0.0,0.0,0.71,0.14
1459.0,19.0,0.0,0.0,0.71,0.14
1459.0,19.0,0.0,0.0,0.71,0.14
1459.0,19.0,0.0,0.0,0.71,0.14
1483.0,19.0,24.0,0.0,3.43,0.0
1483.0,19.0,0.0,0.0,3.43,0.0
1483.0,19.0,0.0,0.0,3.43,0.0
1483.0,19.0,0.0,0.0,3.43,0.0
1483.0,19.0,0.0,0.0,3.43,0.0
1483.0,19.0,0.0,0.0,3.43,0.0
1483.0,19.0,0.0,0.0,3.43,0.0
1492.0,19.0,9.0,0.0,1.29,0.0
1492.0,19.0,0.0,0.0,1.29,0.0
1492.0,19.0,0.0,0.0,1.29,0.0
1492.0,19.0,0.0,0.0,1.29,0.0
1492.0,19.0,0.0,0.0,1.29,0.0
1492.0,19.0,0.0,0.0,1.29,0.0
1492.0,19.0,0.0,0.0,1.29,0.0
1503.0,19.0,11.0,0.0,1.57,0.0
1503.0,19.0,0.0,0.0,1.57,0.0
1503.0,19.0,0.0,0.0,1.57,0.0
1503.0,19.0,0.0,0.0,1.57,0.0
1503.0,19.0,0.0,0.0,1.57,0.0
1503.0,19.0,0.0,0.0,1.57,0.0
1503.0,19.0,0.0,0.0,1.57,0.0
1515.0,19.0,12.0,0.0,1.71,0.0
1515.0,19.0,0.0,0.0,1.71,0.0
1515.0,19.0,0.0,0.0,1.71,0.0
1515.0,19.0,0.0,0.0,1.71,0.0
1515.0,19.0,0.0,0.0,1.71,0.0
1515.0,19.0,0.0,0.0,1.71,0.0
1515.0,19.0,0.0,0.0,1.71,0.0
1521.0,19.0,6.0,0.0,0.86,0.0
1521.0,19.0,0.0,0.0,0.86,0.0
1521.0,19.0,0.0,0.0,0.86,0.0
1522.0,19.0,1.0,0.0,1.0,0.0
1522.0,19.0,0.0,0.0,1.0,0.0
1522.0,19.0,0.0,0.0,1.0,0.0
1522.0,19.0,0.0,0.0,1.0,0.0
1587.0,19.0,65.0,0.0,9.43,0.0
1587.0,19.0,0.0,0.0,9.43,0.0
1587.0,19.0,0.0,0.0,9.43,0.0
1587.0,19.0,0.0,0.0,9.29,0.0
1587.0,19.0,0.0,0.0,9.29,0.0
1587.0,19.0,0.0,0.0,9.29,0.0
1587.0,19.0,0.0,0.0,9.29,0.0
1627.0,19.0,40.0,0.0,5.71,0.0
1627.0,19.0,0.0,0.0,5.71,0.0
1627.0,19.0,0.0,0.0,5.71,0.0
1627.0,19.0,0.0,0.0,5.71,0.0
1627.0,19.0,0.0,0.0,5.71,0.0
1627.0,19.0,0.0,0.0,5.71,0.0
1627.0,19.0,0.0,0.0,5.71,0.0
1630.0,19.0,3.0,0.0,0.43,0.0
1630.0,19.0,0.0,0.0,0.43,0.0
1630.0,19.0,0.0,0.0,0.43,0.0
1630.0,19.0,0.0,0.0,0.43,0.0
1630.0,19.0,0.0,0.0,0.43,0.0
1630.0,19.0,0.0,0.0,0.43,0.0
1630.0,19.0,0.0,0.0,0.43,0.0
1632.0,19.0,2.0,0.0,0.29,0.0
1632.0,19.0,0.0,0.0,0.29,0.0
1632.0,19.0,0.0,0.0,0.29,0.0
1632.0,19.0,0.0,0.0,0.29,0.0
1632.0,19.0,0.0,0.0,0.29,0.0
1632.0,19.0,0.0,0.0,0.29,0.0
1632.0,19.0,0.0,0.0,0.29,0.0
1681.0,20.0,49.0,1.0,7.0,0.14
1681.0,20.0,0.0,0.0,7.0,0.14
1681.0,20.0,0.0,0.0,7.0,0.14
1681.0,20.0,0.0,0.0,7.0,0.14
1681.0,20.0,0.0,0.0,7.0,0.14
1681.0,20.0,0.0,0.0,7.0,0.14
1681.0,20.0,0.0,0.0,7.0,0.14
1715.0,21.0,34.0,1.0,4.86,0.14
1715.0,21.0,0.0,0.0,4.86,0.14
1715.0,21.0,0.0,0.0,4.86,0.14
1715.0,21.0,0.0,0.0,4.86,0.14
