FECHA_CORTE;ANIO;COD_DPTO;NOM_DPTO;NOM_MUSEO;COD_MES;NOM_MES;COD_TIPO;NOM_TIPO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;ADU_PAGANTES;EST_PAGANTES;NIN_PAGANTES;TOTAL_PAGANTES;ADU_BOLESPNOPAGANTES;EST_BOLESPNOPAGANTES;NIN_BOLESPNOPAGANTES;MIL_BOLESPNOPAGANTES;ADM_BOLESPNOPAGANTES;ADU_NOPAGANTES;EST_NOPAGANTES;NIN_NOPAGANTES;TOTAL_NOPAGANTES;TOTAL;TIPO_cat_cod
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);02;Febrero;2;Nacionales Y Extranjeros;0;0;0;0;0;5,402;4,312;1,842;11,556;0;0;0;0;0;1,151;281;236;1,668;13,224;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);03;Marzo;0;Nacionales;0;0;0;0;0;0;1,675;248;1,923;0;0;0;0;0;1,256;151;242;1,649;3,572;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);03;Marzo;1;Extranjeros;0;0;0;0;0;0;1,650;1;1,651;0;0;0;0;0;0;0;0;0;1,651;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);03;Marzo;2;Nacionales Y Extranjeros;0;0;0;0;0;0;3,325;249;3,574;0;0;0;0;0;1,256;151;242;1,649;5,223;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);04;Abril;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);04;Abril;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);04;Abril;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);05;Mayo;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);05;Mayo;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20250123;2020;13;La Libertad;Complejo Arqueologico Chan Chan (Palacio Nik-An);05;Mayo;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
