fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-3.96,-76.51,149,4.5,II Pastaza,119 km al Sur de Pastaza,
,,-11.7,-77.63,51,4.3,"II-III Ancón; II Huaral, Callao, Huacho",51 km. Oeste de Ancón,
,,-15.66,-71.61,8,3.8,II Chivay,3 km al Sur-SO de Chivay,
,,-15.79,-71.78,8,3.8,II Maca,16 km al Sur de Maca,
,,-3.59,-81.18,47,4.7,"II Mancora, Zorritos",59 Km. Oeste de Zorritos,
,,-4.8,-80.93,34,4.3,"III Sullana, II Paita, Piura",26 km al Oeste de Sullana,
,,-10.37,-74.95,17,4,II Puerto Bermudez,9 km al Sur-SE de Puerto Bermudez,
,,-13.51,-75.44,118,4.7,"II-III Huaytara, Huancano; II San Vicente de Cañete, Chincha Alta, Tambo de Mora, Pisco, La Tinguiña, Ica, Castrovirreyna",15 Km al Nor-Oeste de Huaytara,
,,-3.99,-81.13,41,4.3,III Mancora; II Talara,16 km al Nor-Oeste de Máncora,
,,-13.98,-76.17,70,4.2,II Pisco,31 km al Sur de Pisco,
,,-15.65,-71.71,11,3.9,"III Maca, II Madrigal, Chivay, Pinchollo",6 Km al Este de Maca,
,,-14.44,-73.98,106,4.6,II Puquio,33 km al Norte-NE de Puquio,
,,-3.12,-75.92,148,4.7,II pastaza,58 Km al Este -SE de Pastaza,
,,-10.26,-75.13,164,4.9,"III Puerto Bermudez, II Huánuco",17 km al Oeste de Puerto Bermudez,
,,-12.97,-76.76,57,4.2,"II-III Mala, Cañete; II Chilca",38 km al Sur-SO de Mala,
,,-16.31,-74.59,26,4.7,"III Chala; II-III Yauca, Acarí, Atico; II Marcona, Caravelí",64 km al Sur-Oeste de Chala,
,,-10.11,-75.79,11,4,II Puerto Bermudez,22 km. Norte NO Puerto Bermudez,
,,-16.34,-74.65,31,4.4,II Chala,70 km al Sur-Oeste de Chala,
,,-16.35,-74.63,34,4.6,II Chala,70 km al Sur-Oeste de Chala,
,,-9.96,-75.74,9,4,II Pozuzo,25 Km al este-SE de Panao,
,,-14.35,-73.74,102,4.5,III-II Soras,30 km al Sur-SE de Soras,
,,-3.87,-75.86,174,4.8,II Pastaza,123 km al Sur-SE de Pastaza,
,,-6.05,-76.25,28,4.4,II Yurimaguas,23 km al Sur-Oeste de Yurimaguas,
,,-16.55,-71.95,14,3.6,II Vítor,11 Km al Sur - SO de Vítor,
,,-13.56,-70.59,16,3.8,II San Gabán,18 Km al Sur - SO de San Gabán,
,,-16.75,-71.9,36,4.1,"II Mollendo, Vitor",33 Km al Norte-NE de Mollendo,
,,-2.74,-75.44,14,6.1,"IV-V Pastaza(Andoas); III-IV Iquitos; III Nauta; II Requena, San Lorenzo",268 km al Oeste-NO de Iquitos,
,,-11.25,-75.92,6,4.7,"IV Junin; III-IV Tarma; III Oxapampa; II-III La Oroya; II Cerro de Pasco, Huancayo",30 Km al Norte de la Oroya,
,,-16.51,-71.96,34,4.1,II-III Arequipa,8Km al Sur-SO de Vítor - Arequipa,
,,-15.11,-74.27,112,4.3,II Puquio,49 km al Sur-SO de Puquio,
