profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
98,,0,III Huaral,,2025-01-11T11:57:59.000Z,-11.16,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250025_20250111_115357.pdf,-76.95,1970-01-01T11:53:57.000Z,1970-01-01T06:53:57.000Z,,9996,1,"46 km al NE de Huaral, Huaral - Lima",2025-01-11T11:57:59.000Z,,,2025-0025,25,4.1,2025-01-11T00:00:00.000Z,2025-01-11T00:00:00.000Z
35,,0,II Sechura,,2025-01-11T14:52:43.000Z,-5.93,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250026_20250111_144539.pdf,-81.28,1970-01-01T14:45:39.000Z,1970-01-01T09:45:39.000Z,,9997,1,"66 km al SO de Sechura, Sechura - Piura",2025-01-11T14:52:43.000Z,,,2025-0026,26,3.9,2025-01-11T00:00:00.000Z,2025-01-11T00:00:00.000Z
67,,0,II Chimbote,,2025-01-11T19:52:08.000Z,-9.06,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250027_20250111_192539.pdf,-78.71,1970-01-01T19:25:39.000Z,1970-01-01T14:25:39.000Z,,9998,1,"13 km al O de Chimbote, Santa - Ancash",2025-01-11T19:52:08.000Z,,,2025-0027,27,3.5,2025-01-11T00:00:00.000Z,2025-01-11T00:00:00.000Z
136,,0,,,2025-01-12T08:43:07.000Z,-8.71,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250028_20250112_083838.pdf,-74.77,1970-01-01T08:38:38.000Z,1970-01-01T03:38:38.000Z,,9999,1,"46 km al SO de Pucallpa, Coronel Portillo - Ucayali",2025-01-12T08:43:07.000Z,,,2025-0028,28,4,2025-01-12T00:00:00.000Z,2025-01-12T00:00:00.000Z
65,,0,II-III Locumba,,2025-01-12T16:40:38.000Z,-17.58,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250029_20250112_163504.pdf,-70.92,1970-01-01T16:35:04.000Z,1970-01-01T11:35:04.000Z,,10000,1,"17 km al O de Locumba, Jorge Basadre - Tacna",2025-01-12T16:40:38.000Z,,,2025-0029,29,4.3,2025-01-12T00:00:00.000Z,2025-01-12T00:00:00.000Z
20,,0,II-III Arequipa,,2025-01-12T18:53:04.000Z,-16.55,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250030_20250112_184752.pdf,-71.61,1970-01-01T18:47:52.000Z,1970-01-01T13:47:52.000Z,,10001,1,"19 km al SO de Arequipa, Arequipa - Arequipa",2025-01-12T18:53:04.000Z,,,2025-0030,30,3.4,2025-01-12T00:00:00.000Z,2025-01-12T00:00:00.000Z
24,,0,III Santiago De Chuco,,2025-01-12T22:29:43.000Z,-8.13,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250031_20250112_222503.pdf,-78.09,1970-01-01T22:25:03.000Z,1970-01-01T17:25:03.000Z,,10002,1,"9 km al E de Santiago De Chuco, Santiago De Chuco - La Libertad",2025-01-12T22:29:43.000Z,,,2025-0031,31,3.7,2025-01-12T00:00:00.000Z,2025-01-12T00:00:00.000Z
110,,0,,,2025-01-13T02:28:02.000Z,-2.29,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250032_20250113_022052.pdf,-79.87,1970-01-01T02:20:52.000Z,1970-01-01T21:20:52.000Z,,10003,1,"142 km al N de Zarumilla, Zarumilla - Tumbes",2025-01-13T02:28:02.000Z,,,2025-0032,32,5,2025-01-13T00:00:00.000Z,2025-01-12T00:00:00.000Z
98,,0,II-III Tacna,,2025-01-14T00:30:50.000Z,-20.25,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250033_20250114_002328.pdf,-69.26,1970-01-01T00:23:28.000Z,1970-01-01T19:23:28.000Z,,10004,1,"270 km al SE de Tacna, Tacna - Tacna",2025-01-14T00:30:50.000Z,,,2025-0033,33,4.8,2025-01-14T00:00:00.000Z,2025-01-13T00:00:00.000Z
34,,0,,,2025-01-14T09:20:53.000Z,-9.71,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250034_20250114_091557.pdf,-79.11,1970-01-01T09:15:57.000Z,1970-01-01T04:15:57.000Z,,10005,1,"84 km al SO de Samanco, Santa - Ancash",2025-01-14T09:20:53.000Z,,,2025-0034,34,4,2025-01-14T00:00:00.000Z,2025-01-14T00:00:00.000Z
