NOM_TIPO;NOM_DPTO;NOM_MUSEO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;TOTAL_PAGANTES
Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;1
Nacionales Y Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;9
Nacionales;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;33
Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;2
Nacionales Y Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;35
Nacionales;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;171
Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;0
Nacionales Y Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;171
Nacionales;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;34
Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;4
Nacionales Y Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;38
Nacionales;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;63
Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;2
Nacionales Y Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;65
Nacionales;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;491
Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;6
Nacionales Y Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;497
Nacionales;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;2,152
Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;2
Nacionales Y Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;2,154
Nacionales;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;175
Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;1
Nacionales Y Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;176
Nacionales;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;21
Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;0
Nacionales Y Extranjeros;Ancash;Sitio Arqueologico Pañamarca;0;0;0;0;0;21
Nacionales;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;99
Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;32
Nacionales Y Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;131
Nacionales;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;82
Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;16
Nacionales Y Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;98
Nacionales;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;26
Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;35
Nacionales Y Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;61
Nacionales;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;188
Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;38
Nacionales Y Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;226
Nacionales;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;126
Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;18
Nacionales Y Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;144
Nacionales;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;129
Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;46
Nacionales Y Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;175
Nacionales;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;309
Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;309
Nacionales Y Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;618
Nacionales;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;328
Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;74
Nacionales Y Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;402
Nacionales;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;153
Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;0
Nacionales Y Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;153
Nacionales;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;139
Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;91
Nacionales Y Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;230
Nacionales;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;23
Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;170
Nacionales Y Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;193
Nacionales;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;59
Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;40
Nacionales Y Extranjeros;Apurimac;Sitio Arqueologico Saihuite;0;0;0;0;0;99
Nacionales;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;103
Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;74
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;177
Nacionales;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;104
Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;49
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;153
Nacionales;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;60
Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;27
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;87
Nacionales;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;227
Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;81
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;308
Nacionales;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;163
Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;70
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;233
Nacionales;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;117
Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;48
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;165
Nacionales;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;185
Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;83
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;268
Nacionales;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;179
Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;159
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;338
Nacionales;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;282
Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;178
Nacionales Y Extranjeros;Arequipa;Complejo Arqueologico Toro Muerto;0;0;0;0;0;460
