NOM_DPTO;COD_DPTO;NOM_MUSEO;TOTAL_NOPAGANTES;TOTAL_PAGANTES;TOTAL
Apurimac;3;Sitio Arqueologico Saihuite;0;35;35
Apurimac;3;Sitio Arqueologico Saihuite;51;61;112
Apurimac;3;Sitio Arqueologico Saihuite;135;188;323
Apurimac;3;Sitio Arqueologico Saihuite;0;38;38
Apurimac;3;Sitio Arqueologico Saihuite;135;226;361
Apurimac;3;Sitio Arqueologico Saihuite;98;126;224
Apurimac;3;Sitio Arqueologico Saihuite;0;18;18
Apurimac;3;Sitio Arqueologico Saihuite;98;144;242
Apurimac;3;Sitio Arqueologico Saihuite;41;129;170
Apurimac;3;Sitio Arqueologico Saihuite;0;46;46
Apurimac;3;Sitio Arqueologico Saihuite;41;175;216
Apurimac;3;Sitio Arqueologico Saihuite;37;309;346
Apurimac;3;Sitio Arqueologico Saihuite;0;309;309
Apurimac;3;Sitio Arqueologico Saihuite;37;618;655
Apurimac;3;Sitio Arqueologico Saihuite;34;328;362
Apurimac;3;Sitio Arqueologico Saihuite;0;74;74
Apurimac;3;Sitio Arqueologico Saihuite;34;402;436
Apurimac;3;Sitio Arqueologico Saihuite;298;153;451
Apurimac;3;Sitio Arqueologico Saihuite;0;0;0
Apurimac;3;Sitio Arqueologico Saihuite;298;153;451
Apurimac;3;Sitio Arqueologico Saihuite;91;139;230
Apurimac;3;Sitio Arqueologico Saihuite;0;91;91
Apurimac;3;Sitio Arqueologico Saihuite;91;230;321
Apurimac;3;Sitio Arqueologico Saihuite;337;23;360
Apurimac;3;Sitio Arqueologico Saihuite;0;170;170
Apurimac;3;Sitio Arqueologico Saihuite;337;193;530
Apurimac;3;Sitio Arqueologico Saihuite;218;59;277
Apurimac;3;Sitio Arqueologico Saihuite;0;40;40
Apurimac;3;Sitio Arqueologico Saihuite;218;99;317
Arequipa;4;Complejo Arqueologico Toro Muerto;0;103;103
Arequipa;4;Complejo Arqueologico Toro Muerto;0;74;74
Arequipa;4;Complejo Arqueologico Toro Muerto;0;177;177
Arequipa;4;Complejo Arqueologico Toro Muerto;0;104;104
Arequipa;4;Complejo Arqueologico Toro Muerto;0;49;49
Arequipa;4;Complejo Arqueologico Toro Muerto;0;153;153
Arequipa;4;Complejo Arqueologico Toro Muerto;0;60;60
Arequipa;4;Complejo Arqueologico Toro Muerto;0;27;27
Arequipa;4;Complejo Arqueologico Toro Muerto;0;87;87
Arequipa;4;Complejo Arqueologico Toro Muerto;0;227;227
Arequipa;4;Complejo Arqueologico Toro Muerto;0;81;81
Arequipa;4;Complejo Arqueologico Toro Muerto;0;308;308
Arequipa;4;Complejo Arqueologico Toro Muerto;0;163;163
Arequipa;4;Complejo Arqueologico Toro Muerto;0;70;70
Arequipa;4;Complejo Arqueologico Toro Muerto;0;233;233
Arequipa;4;Complejo Arqueologico Toro Muerto;0;117;117
Arequipa;4;Complejo Arqueologico Toro Muerto;0;48;48
Arequipa;4;Complejo Arqueologico Toro Muerto;0;165;165
Arequipa;4;Complejo Arqueologico Toro Muerto;0;185;185
Arequipa;4;Complejo Arqueologico Toro Muerto;0;83;83
Arequipa;4;Complejo Arqueologico Toro Muerto;0;268;268
Arequipa;4;Complejo Arqueologico Toro Muerto;0;179;179
Arequipa;4;Complejo Arqueologico Toro Muerto;0;159;159
Arequipa;4;Complejo Arqueologico Toro Muerto;0;338;338
Arequipa;4;Complejo Arqueologico Toro Muerto;0;282;282
Arequipa;4;Complejo Arqueologico Toro Muerto;0;178;178
Arequipa;4;Complejo Arqueologico Toro Muerto;0;460;460
Arequipa;4;Complejo Arqueologico Toro Muerto;0;205;205
Arequipa;4;Complejo Arqueologico Toro Muerto;0;118;118
Arequipa;4;Complejo Arqueologico Toro Muerto;0;323;323
Arequipa;4;Complejo Arqueologico Toro Muerto;0;207;207
Arequipa;4;Complejo Arqueologico Toro Muerto;0;113;113
Arequipa;4;Complejo Arqueologico Toro Muerto;0;320;320
Arequipa;4;Complejo Arqueologico Toro Muerto;0;72;72
Arequipa;4;Complejo Arqueologico Toro Muerto;0;71;71
Arequipa;4;Complejo Arqueologico Toro Muerto;0;143;143
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;4;4
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;0;0
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;4;4
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;0;0
Arequipa;4;Complejo Arqueologico de Uyo Uyo;0;0;0
