ANIO;NOM_MES;NOM_DPTO;COD_TIPO;TOTAL_PAGANTES
2007;Mayo;Cusco;2;12,086
2007;Junio;Cusco;0;7,106
2007;Junio;Cusco;1;4,861
2007;Junio;Cusco;2;11,967
2007;Julio;Cusco;0;7,302
2007;Julio;Cusco;1;4,932
2007;Julio;Cusco;2;12,234
2007;Agosto;Cusco;0;7,136
2007;Agosto;Cusco;1;4,899
2007;Agosto;Cusco;2;12,035
2007;Setiembre;Cusco;0;7,030
2007;Setiembre;Cusco;1;4,713
2007;Setiembre;Cusco;2;11,743
2007;Octubre;Cusco;0;7,157
2007;Octubre;Cusco;1;4,863
2007;Octubre;Cusco;2;12,020
2007;Noviembre;Cusco;0;6,893
2007;Noviembre;Cusco;1;4,790
2007;Noviembre;Cusco;2;11,683
2007;Diciembre;Cusco;0;6,096
2007;Diciembre;Cusco;1;4,325
2007;Diciembre;Cusco;2;10,421
2007;Enero;Cusco;0;318
2007;Enero;Cusco;1;376
2007;Enero;Cusco;2;694
2007;Febrero;Cusco;0;0
2007;Febrero;Cusco;1;0
2007;Febrero;Cusco;2;0
2007;Marzo;Cusco;0;83
2007;Marzo;Cusco;1;66
2007;Marzo;Cusco;2;149
2007;Abril;Cusco;0;175
2007;Abril;Cusco;1;84
2007;Abril;Cusco;2;259
2007;Mayo;Cusco;0;128
2007;Mayo;Cusco;1;65
2007;Mayo;Cusco;2;193
2007;Junio;Cusco;0;146
2007;Junio;Cusco;1;85
2007;Junio;Cusco;2;231
2007;Julio;Cusco;0;266
2007;Julio;Cusco;1;146
2007;Julio;Cusco;2;412
2007;Agosto;Cusco;0;138
2007;Agosto;Cusco;1;65
2007;Agosto;Cusco;2;203
2007;Setiembre;Cusco;0;96
2007;Setiembre;Cusco;1;50
2007;Setiembre;Cusco;2;146
2007;Octubre;Cusco;0;103
2007;Octubre;Cusco;1;44
2007;Octubre;Cusco;2;147
2007;Noviembre;Cusco;0;50
2007;Noviembre;Cusco;1;27
2007;Noviembre;Cusco;2;77
2007;Diciembre;Cusco;0;41
2007;Diciembre;Cusco;1;21
2007;Diciembre;Cusco;2;62
2007;Enero;Cusco;0;9
2007;Enero;Cusco;1;678
2007;Enero;Cusco;2;687
2007;Febrero;Cusco;0;0
2007;Febrero;Cusco;1;0
2007;Febrero;Cusco;2;0
2007;Marzo;Cusco;0;28
2007;Marzo;Cusco;1;974
2007;Marzo;Cusco;2;1,002
2007;Abril;Cusco;0;36
2007;Abril;Cusco;1;946
