profundidad,tipomagnitud,id_pdf_tematico,intensidad,referencia3,createdAt,latitud,reporte_acelerometrico_pdf,longitud,hora_utc,hora_local,mapa,idlistasismos,publicado,referencia,updatedAt,referencia2,informe,codigo,numero_reporte,magnitud,fecha_utc,fecha_local
35,,0,II-III Huarmey,,2025-09-03T16:09:21.000Z,-10.17,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250587_20250903_160429.pdf,-78.78,1970-01-01T16:04:29.000Z,1970-01-01T11:04:29.000Z,,10558,1,"70 km al O de Huarmey, Huarmey - Ancash",2025-09-03T16:09:21.000Z,,,2025-0587,587,3.7,2025-09-03T00:00:00.000Z,2025-09-03T00:00:00.000Z
44,,0,III Chimbote,,2025-09-09T04:39:41.000Z,-8.97,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250599_20250909_043445.pdf,-79.05,1970-01-01T04:34:45.000Z,1970-01-01T23:34:45.000Z,,10570,1,"52 km al O de Chimbote, Santa - Ancash",2025-09-09T04:39:41.000Z,,,2025-0599,599,3.8,2025-09-09T00:00:00.000Z,2025-09-08T00:00:00.000Z
17,,0,II-III Corongo,,2025-09-20T04:37:04.000Z,-8.66,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250625_20250920_043349.pdf,-77.84,1970-01-01T04:33:49.000Z,1970-01-01T23:33:49.000Z,,10596,1,"18 km al SE de Corongo, Corongo - Ancash",2025-09-20T04:37:04.000Z,,,2025-0625,625,3.5,2025-09-20T00:00:00.000Z,2025-09-19T00:00:00.000Z
48,,0,II-III Casma,,2025-09-24T18:44:08.000Z,-9.77,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250641_20250924_183914.pdf,-78.72,1970-01-01T18:39:14.000Z,1970-01-01T13:39:14.000Z,,10612,1,"57 km al SO de Casma, Casma - Ancash",2025-09-24T18:44:08.000Z,,,2025-0641,641,4.3,2025-09-24T00:00:00.000Z,2025-09-24T00:00:00.000Z
15,,0,II-III Chavin De Huantar,,2025-09-29T02:11:07.000Z,-9.47,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250657_20250929_020609.pdf,-77.02,1970-01-01T02:06:09.000Z,1970-01-01T21:06:09.000Z,,10628,1,"21 km al NE de Chavin De Huantar, Huari - Ancash",2025-09-29T02:11:07.000Z,,,2025-0657,657,3.5,2025-09-29T00:00:00.000Z,2025-09-28T00:00:00.000Z
37,,0,III Huarmey,,2025-10-11T23:07:18.000Z,-10.54,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250682_20251011_230301.pdf,-78.83,1970-01-01T23:03:01.000Z,1970-01-01T18:03:01.000Z,,10653,1,"91 km al SO de Huarmey, Huarmey - Áncash",2025-10-11T23:07:18.000Z,,,2025-0682,682,4.6,2025-10-11T00:00:00.000Z,2025-10-11T00:00:00.000Z
38,,0,II-III Chimbote,,2025-10-19T21:02:33.000Z,-9.06,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250692_20251019_205700.pdf,-79.28,1970-01-01T20:57:00.000Z,1970-01-01T15:57:00.000Z,,10663,1,"77 km al O de Chimbote, Santa - Áncash",2025-10-19T21:02:33.000Z,,,2025-0692,692,3.7,2025-10-19T00:00:00.000Z,2025-10-19T00:00:00.000Z
24,,0,,,2025-10-21T18:44:12.000Z,-9.41,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250698_20251021_184007.pdf,-79.28,1970-01-01T18:40:07.000Z,1970-01-01T13:40:07.000Z,,10669,1,"85 km al SO de Chimbote, Santa - Áncash",2025-10-21T18:44:12.000Z,,,2025-0698,698,4.0,2025-10-21T00:00:00.000Z,2025-10-21T00:00:00.000Z
31,,0,II-III Chimbote,,2025-10-22T09:33:41.000Z,-9.08,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250702_20251022_092822.pdf,-79.15,1970-01-01T09:28:22.000Z,1970-01-01T04:28:22.000Z,,10673,1,"62 km al O de Chimbote, Santa - Áncash",2025-10-22T09:33:41.000Z,,,2025-0702,702,4.0,2025-10-22T00:00:00.000Z,2025-10-22T00:00:00.000Z
20,,0,,,2025-10-31T04:35:24.000Z,-9.78,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250719_20251031_042914.pdf,-80.02,1970-01-01T04:29:14.000Z,1970-01-01T23:29:14.000Z,,10690,1,"176 km al SO de Chimbote, Santa - Áncash",2025-10-31T04:35:24.000Z,,,2025-0719,719,4.2,2025-10-31T00:00:00.000Z,2025-10-30T00:00:00.000Z
45,,0,III Huarmey,,2025-10-31T19:13:22.000Z,-10.3,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250721_20251031_190353.pdf,-78.7,1970-01-01T19:03:53.000Z,1970-01-01T14:03:53.000Z,,10692,1,"65 km al SO de Huarmey, Huarmey - Áncash",2025-10-31T19:13:22.000Z,,,2025-0721,721,4.6,2025-10-31T00:00:00.000Z,2025-10-31T00:00:00.000Z
58,,0,III Chimbote,,2025-11-04T06:43:25.000Z,-8.82,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250727_20251104_063824.pdf,-79.01,1970-01-01T06:38:24.000Z,1970-01-01T01:38:24.000Z,,10698,1,"54 km al NO de Chimbote, Santa - Áncash",2025-11-04T06:43:25.000Z,,,2025-0727,727,3.6,2025-11-04T00:00:00.000Z,2025-11-04T00:00:00.000Z
37,,0,,,2025-11-17T05:12:48.000Z,-10.63,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250761_20251117_045801.pdf,-78.42,1970-01-01T04:58:01.000Z,1970-01-01T23:58:01.000Z,,10732,1,"69 km al SO de Huarmey, Huarmey - Áncash",2025-11-17T05:12:48.000Z,,,2025-0761,761,4.2,2025-11-17T00:00:00.000Z,2025-11-16T00:00:00.000Z
44,,0,II-III Huarmey,,2025-11-22T13:06:08.000Z,-10.78,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250770_20251122_130050.pdf,-78.62,1970-01-01T13:00:50.000Z,1970-01-01T08:00:50.000Z,,10741,1,"94 km al SO de Huarmey, Huarmey - Áncash",2025-11-22T13:06:08.000Z,,,2025-0770,770,4.3,2025-11-22T00:00:00.000Z,2025-11-22T00:00:00.000Z
12,,0,III Pampas,,2025-11-29T08:39:00.000Z,-8.28,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250779_20251129_083248.pdf,-78.0,1970-01-01T08:32:48.000Z,1970-01-01T03:32:48.000Z,,10750,1,"15 km al SO de Pampas, Pallasca - Áncash",2025-11-29T08:39:00.000Z,,,2025-0779,779,3.5,2025-11-29T00:00:00.000Z,2025-11-29T00:00:00.000Z
52,,0,V Chimbote,,2025-12-28T02:55:20.000Z,-9.09,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250829_20251228_025148.pdf,-79.19,1970-01-01T02:51:48.000Z,1970-01-01T21:51:48.000Z,,10800,1,"67 km al O de Chimbote, Santa - Áncash",2025-12-28T02:55:20.000Z,,,2025-0829,829,6.0,2025-12-28T00:00:00.000Z,2025-12-27T00:00:00.000Z
50,,0,III Chimbote,,2025-12-28T03:57:58.000Z,-8.96,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250830_20251228_035128.pdf,-79.19,1970-01-01T03:51:28.000Z,1970-01-01T22:51:28.000Z,,10801,1,"68 km al O de Chimbote, Santa - Áncash",2025-12-28T03:57:58.000Z,,,2025-0830,830,4.1,2025-12-28T00:00:00.000Z,2025-12-27T00:00:00.000Z
47,,0,IV Chimbote,,2025-12-28T05:20:37.000Z,-9.07,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250831_20251228_051722.pdf,-79.28,1970-01-01T05:17:22.000Z,1970-01-01T00:17:22.000Z,,10802,1,"77 km al O de Chimbote, Santa - Áncash",2025-12-28T05:20:37.000Z,,,2025-0831,831,4.3,2025-12-28T00:00:00.000Z,2025-12-28T00:00:00.000Z
51,,0,IV Chimbote,,2025-12-28T23:24:16.000Z,-8.98,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250833_20251228_231955.pdf,-79.18,1970-01-01T23:19:55.000Z,1970-01-01T18:19:55.000Z,,10804,1,"66 km al O de Chimbote, Santa - Áncash",2025-12-28T23:24:16.000Z,,,2025-0833,833,5.1,2025-12-28T00:00:00.000Z,2025-12-28T00:00:00.000Z
42,,0,II-III Chimbote,,2025-12-29T00:31:26.000Z,-9.03,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250834_20251229_002512.pdf,-79.18,1970-01-01T00:25:12.000Z,1970-01-01T19:25:12.000Z,,10805,1,"66 km al O de Chimbote, Santa - Áncash",2025-12-29T00:31:26.000Z,,,2025-0834,834,3.8,2025-12-29T00:00:00.000Z,2025-12-28T00:00:00.000Z
51,,0,II-III Chimbote,,2025-12-29T04:06:45.000Z,-8.94,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250835_20251229_040307.pdf,-79.18,1970-01-01T04:03:07.000Z,1970-01-01T23:03:07.000Z,,10806,1,"67 km al O de Chimbote, Santa - Áncash",2025-12-29T04:06:45.000Z,,,2025-0835,835,3.9,2025-12-29T00:00:00.000Z,2025-12-28T00:00:00.000Z
48,,0,III Chimbote,,2025-12-30T12:25:51.000Z,-8.99,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20250836_20251230_122231.pdf,-79.24,1970-01-01T12:22:31.000Z,1970-01-01T07:22:31.000Z,,10807,1,"73 km al O de Chimbote, Santa - Áncash",2025-12-30T12:25:51.000Z,,,2025-0836,836,4.1,2025-12-30T00:00:00.000Z,2025-12-30T00:00:00.000Z
