fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-14.86,-74.74,42,4.4,II Nazca,22 Km al E-SE de Nazca,
,,-16.78,-72.89,42,4.3,II-III Camana,27 Km S-O de Camana,
,,-16.87,-71.99,33,3.9,II Mollendo,17 Km al N de Mollendo,
,,-14.88,-74.75,52,4.4,II Nazca,22 Km E-SE de Nazca,
,,-13.32,-77.02,53,4.5,"II-III San Vicente de Cañete; II Mala, Lima",74 Km al O-SO de San Vicente de Cañete,
,,-5.44,-76.69,121,4.6,"II Moyobamba, Rioja",32 Km al E de Moyobamba,
,,-16.9,-71.9,46,4,III Mollendo; II Arequipa,19 Km al N-E de Mollendo,
,,-15.61,-74.36,71,4.9,"II Acarí, Chala",29 Km al N-NO de Chala,
,,-15.76,-74.73,58,4.4,III Acari,24 al S-SE de Lomas,
,,-12.04,-76.34,15,3.9,"II Matucana,  Ricardo Palma,  Lima  ",22 Km al S de Matucana ,
,,-13.43,-72.71,83,4.6,  II Abancay ,29 Km al NE de Abancay ,
,,-12.35,-76.86,40,3.8,II Lima  ,39 Km al SE de Lima ,
,,-14.65,-76.32,27,4.3,"II Ica, Chincha",92 Km al SO de Ica ,
,,-15.24,-73.64,110,4.8,"II-III Cora Cora; II Pausa, Ayacucho, Caraveli",29 Km al SE de Cora Cora,
,,-13.77,-74.01,86,4.7,"II Huanca Sancos, Ayacucho, Andahuaylas",39 Km al NE de Huanca Sancos,
,,-8.04,-74.62,163,4.6,II Pucallpa  ,38 Km al N de Pucallpa ,
,,-8.74,-80.14,49,4.7,II Trujillo,142 Km al SO de Trujillo,
,,-16.8,-73,45,4.6,"III Camana; II Yauca,Caraveli, Arequipa",36 Km al O-SO de Camana,
,,-14.76,-76.28,33,4.3,"II Ica, La Tinguiña",98 Km al SO de Ica,
,,-9.96,-75.38,20,4,II Pozuzo  ,68 Km al E de Panao ,
,,-12.42,-77.42,38,3.7,II Lima,50 Km al SO del Callao,
,,-12.02,-77.2,58,4.5,III Lima  Callao II Huacho  Huaral  ,7 Km al NO de Callao ,
,,-14.29,-76.8,21,4.5,"II Pisco, Ica  ",92 Km al SO de Pisco ,
,,-12.32,-77.34,46,3.7,II Lima  ,36 Km al SO de Callao ,
,,-8.64,-74.19,130,6.4,III-IV Pucallpa,47 Km al SE de Pucallpa ,
,,-8.64,-74.19,150,6.4,IV-V Pucallpa; III-IV Huanuco; III Trujillo; II Lima,47 Km al SE de Pucallpa ,
,,-12.53,-76.65,56,3.8,II Lima  ,68 Km al NO de San Vicente de Cañete ,
,,-15.8,-73.12,114,4.1,II Caravelí,26 km al E de Caravelí,
,,-16.25,-72.87,62,4.4,"III Ocoña, Aplao;  II Arequipa  ",45 Km al NO de Camaná ,
,,-4.01,-80.99,56,4,II Mancora,12 Km al NNE de Mancora,
,,-3.96,-80.97,54,4.1,II Mancora  ,18 Km al NNE de Mancora,
,,-13.61,-76.28,58,4.3,"II-III Pisco; II Chincha Alta,  Tambo de Mora  ",14 Km al NO de Pisco ,
,,-9.07,-76.18,120,4.9,II-III Tingo María; II Huanuco,32 Km al NO de Tingo María ,
,,-13.5,-77,46,5.4,"II-III San Vicente de Cañete; II Ica, Lima    ",83 Km al SO de San Vicente de Cañete ,
,,-18.3,-70.15,86,4.4,II Tacna  ,34 Km al S de Tacna ,
,,-5.62,-76.07,57,4.4,II Yurimaguas  ,31 Km al N de Yurimaguas ,
,,-12.79,-77.25,32,3.9,II Lima,86 Km al SSO de Lima,
,,-11.45,-77.7,69,4.3,III Huacho;  III-II Lima  ,40 Km al S de Huacho ,
,,-5.67,-76.94,139,4.9,II Moyobamba ,40 Km al N de Moyobamba ,
,,-13.37,-71.95,12,4,II Cusco,16 Km al N de Cusco,
,,-10.75,-75.54,11,4,"II-III Oxapampa, Santa Isabel  ",24 Km al SO de Oxapampa ,
,,-13.97,-77.01,23,4.2, II Pisco  ,94 Km al O de Pisco ,
,,-11.76,-77.32,68,3.9,II Ancon  ,32 Km al S de Huaral ,
,,-13.48,-71.96,10,3.5,II Cusco,5 Km al NE de Cusco ,
,,-12.33,-77.3,40,3.9,II Lima  ,34 Km al SO de Callao ,
,,-8.85,-75.38,130,4.8,"II Aguaytia, Tingo Maria, Pucallpa",25 Km al NE de Aguaytia,
,,-13.35,-76.33,67,4.2,III Chincha II San Vicente de Cañete  Pisco  ,23 Km al O de Chincha Alta ,
,,-11.2,-73.56,139,4.5,II Atalaya ,57 Km al SE de Atalaya ,
,,-16.53,-73.83,39,4.8,"III IV Atico; III Yauca, Camana; II Arequipa  ",99 Km al SO de Caravelí ,
,,-6.19,-80.05,53,4.4,"IV Olmos;  II Lambayeque,  Chiclayo  ",58 Km al NO de Ferreñafe ,
,,-5.48,-80.62,40,4.2,"II Sechura,  Piura  ",24 Km al E de Sechura ,
,,-11.91,-76.33,26,3.7,   II Matucana,9 Km al SE de Matucana ,
,,-12.56,-76.83,50,3.9,"II Chilca, Lima ",61 Km al S de Lima ,
,,-8.67,-78.75,53,4,II Chimbote,48 Km al NO de Chimbote,
,,-4.32,-80.45,38,4.1,II Mancora  ,69 Km al NE de Sullana ,
,,-4.12,-80.28,40,4,II Mancora  ,64 Km al S de Tumbes ,
,,-18.34,-71.12,40,4.3,II Tacna,102 Km al Oeste de Tacna,
,,-12.52,-77.33,47,4,II Lima,62 Km al SO de Lima,
,,-12.18,-77.26,66,3.8,II Lima  ,18 Km al SO de Callao ,
,,-14.05,-73.06,115,4.6,II Abancay  ,34 Km al NE de Chalhuanca ,
,,-13.05,-76.69,63,4,II-III San Vicente de Cañete,34 Km al O de San Vicente de Cañete,
,,-17.46,-71.05,45,4.5,II Moquegua  ,32 Km al SO de Moquegua ,
,,-13.08,-76.74,57,4.4,III-II San Vicente de Cañete  ,39 Km al O de San Vicente de Cañete ,
,,-16.72,-73.18,48,4.3,"II Ocoña, Camaná ",53 Km al O de Camaná ,
,,-11.83,-76.48,100,4.4,"III Matucana, Chosica, San Mateo, Ricardo Palma; III-II Lima  ",11 Km al O de Matucana ,
,,-17.67,-69.82,139,5,II-III Tacna  ,32 Km al SE de Tarata ,
,,-14.58,-76.04,38,3.9,II Ica  ,67 Km al SO de Ica ,
,,-8.87,-75.68,128,4.5,II Aguaytía,26 Km al NO de Aguaytía ,
,,-14.39,-76.31,30,4.8,III Ica Pisco  ,74 Km al SO de Ica ,
,,-14.06,-76.32,39,4.5,III Pisco  II Ica  ,41 Km al S de Pisco ,
,,-9.64,-79.91,22,4.2,II Chimbote  ,160 Km al SO de Chimbote ,
,,-14.22,-75.77,57,4,II Ica  ,17 Km al S de Ica ,
,,-10.12,-79.8,47,4.2,II Chimbote,179 Km al SO de Chimbote ,
,,-11.98,-77.6,30,3.7,II Lima  ,51 Km al O de Callao ,
,,-13.62,-70.63,11,4.6,IV San Gaban,16 km O-NO de San Gaban,
,,-12.57,-77.06,46,4,II Lima,59 Km al S de Lima,
,,-7.48,-80.2,30,4.3,II Chiclayo,88 Km al SO de Chiclayo,
,,-13.48,-71.96,12,3.9,III Cusco,4 Km al NE de Cusco ,
,,-12.09,-76.93,48,3.8,II Lima,12 Km al SE de Lima ,
,,-5.83,-76.43,110,5.5,III-IV Yurimaguas; III Moyobamba; II Lamas,36 Km al O de Yurimaguas ,
,,-14.72,-74.53,66,4.4,"II Puquio, Nasca   ",45 Km al O de Puquio ,
,,-12.58,-76.92,56,3.9,II Lima,60 Km al S de Lima ,
,,-12.52,-76.83,55,4.3,III Lima ,57 Km al SE de Lima ,
,,-12.13,-76.03,110,4.7,III-IV Yauyos; III Lima ,38 Km al N de Yauyos,
,,-16.01,-72.3,106,5.1,"III-IV Aplao; III Arequipa; II-III Ocoña, Camaná, Mollendo ",22 Km al E de Aplao,
,,-13.58,-76.02,85,4,II Chincha ,22 Km al SE de Chincha Alta,
,,-11.96,-76.01,22,4.7,"III Matucana; II La Oroya, Lima",44 Km al E-SE de Matucana,
,,-11.95,-76,21,4.3,II Matucana,45 Km al  E-SE de Matucana,
,,-12.45,-76.71,45,3.9,II Lima,8 Km al NE de Chilca,
,,-8.88,-75.19,135,6,IV-V Aguaytia,39 Km al NE de Aguaytia,
,,-12.56,-76.81,38,3.9,II Lima,9 Km al SO de Chilca,
,,-12.61,-76.77,50,4,II Lima,12 Km al S de Chilca,
,,-12.51,-76.81,50,3.9,II Lima,58 Km al SE de Lima,
,,-12.54,-76.85,52,3.9,II Lima,58 Km al S de Lima,
,,-13.3,-76.68,57,4.8,"III San Vicente de Cañete, Chincha Alta; II-III Lunahuana; II Lima, Ica",41 Km al SO de San Vicente de Cañete,
,,-9.83,-78.75,56,4.2,II Casma ,64 Km al SO de Casma,
,,-10.09,-78.6,55,4.3,II Huarmey ,50 Km al O de Huarmey,
,,-11.69,-77.72,61,4.1,II Lima Ancon ,62 Km al O de Ancon,
,,-12.26,-77.04,50,3.8,II Lima,24 Km al S de Lima,
,,-14.63,-76.08,40,4.6,II-III Ica,74 km al SO de Ica,
,,-15.78,-74.79,45,4.2,"II Acari, Chala",44 Km SO de Acari,
,,-11.18,-78.08,64,4.2,II Barranca,60 km al SO de Barranca,
,,-12.5,-76.74,49,3.9,II Lima,60 Km al SE de Lima,
,,-10.84,-77.72,51,4.4,III Barranca; III II Huacho; II Lima ,11 Km al SE de Barranca,
,,-4.68,-76.26,143,5.8,"III Yurimaguas, Lagunas; II-III Moyobamba",135 km al N de Yurimaguas,
,,-9.25,-75.98,22,4.1,III Tingo Maria  ,5 Km al NE de Tingo Maria,
,,-8.86,-74.24,150,4.6,II Pucallpa,63 Km al SE de Pucallpa,
,,-12.01,-77,46,3.5,II Lima,05 km al NE de Lima,
,,-16.03,-74.16,40,4,II Chala  ,22 Km al SE de Chala,
,,-13.77,-76.59,25,3.8,II Pisco,44 Km al O de Pisco,
,,-11.86,-77.23,51,4.3,III Ancon II Chosica  ,13 Km al SO de Ancon,
,,-13.67,-76.47,23,3.9,   II Pisco,30 Km al O de Pisco,
,,-6.98,-80.85,38,4.6,III-IV Isla Lobos de Afuera;  II Pimentel  ,103 Km al O de Pimentel,
,,-8.33,-76.47,42,4.5,III Alto Huallaga,17 Km al N de Uchiza,
,,-8.98,-78.75,71,4,II Chimbote,20 Km al NO de Chimbote,
,,-12.56,-76.82,51,4.2,"   II Chila, Lima",10 Km al SO de Chilca,
,,-6.01,-76.79,37,4.8,III-IV Moyobamba;  ,21 Km al E de Moyobamba,
,,-18.17,-70.32,99,4.8,III Tacna  ,19 Km al SO de Tacna,
,,-11.37,-76.86,96,4.3,"   II-III Huaral, Lima",31 Km al O de Canta,
,,-10.75,-77.58,67,4.3,"II Puerto Supe, Barranca",19 Km al E de Puerto Supe,
,,-13.3,-71.54,169,5.2,II Cuzco,6 Km al E de Paucartambo,
,,-11.42,-77.92,53,4.7,III-IV Huacho III Lima,49 Km al SO de Huacho,
,,-11.38,-77.82,60,3.8,"II Huacho, Ancón, Lima  ",38 Km al SO de Huacho,
